url,status,indexable,canonical,title,h1,town,page_type,target_intent,action
"/blog/hunter-elementary-tuesday-drop-off-bjj","200","yes","https://senseisandy.com/blog/hunter-elementary-tuesday-drop-off-bjj","Hunter Elementary Tuesday Drop-Off Request to Sensei Sandy BJJ","How to Request Tuesday After-School Drop-Off to Sensei Sandy BJJ From Hunter Elementary","hunter","informational article","informational or supporting","REVIEW INTENT"
"/blog/jiu-jitsu-near-hunter-mountain","200","yes","https://senseisandy.com/blog/jiu-jitsu-near-hunter-mountain","Jiu Jitsu Near Hunter Mountain: What to Expect","Jiu Jitsu Near Hunter Mountain: What to Expect","hunter","informational article","informational or supporting","REVIEW INTENT"
"/blog/jiu-jitsu-near-windham-mountain-club","200","yes","https://senseisandy.com/blog/jiu-jitsu-near-windham-mountain-club","Jiu-Jitsu Near Windham Mountain Club","Jiu-Jitsu Near Windham Mountain Club","windham","informational article","informational or supporting","REVIEW INTENT"
"/blog/jiu-jitsu-near-windham-mountain-club-ski-families","200","yes","https://senseisandy.com/blog/jiu-jitsu-near-windham-mountain-club-ski-families","Jiu-Jitsu Near Windham Mountain Club for Ski Families","Jiu-Jitsu Near Windham Mountain Club for Ski Families","windham","informational article","informational or supporting","REVIEW INTENT"
"/blog/jiu-jitsu-windham-ny","200","yes","https://senseisandy.com/blog/jiu-jitsu-windham-ny","Jiu Jitsu Windham NY: Where Locals Train","Jiu Jitsu Windham NY: Where Locals Train","windham","informational article","informational or supporting","REVIEW INTENT"
"/blog/kids-jiu-jitsu-windham-ny","200","yes","https://senseisandy.com/blog/kids-jiu-jitsu-windham-ny","Kids Jiu Jitsu Windham NY | After-School BJJ | Sensei Sandy","Kids Jiu-Jitsu in Windham, NY: A Structured After-School Option","windham","informational article","informational or supporting","REVIEW INTENT"
"/blog/kids-martial-arts-haines-falls","200","yes","https://senseisandy.com/blog/kids-martial-arts-haines-falls","Kids Martial Arts Haines Falls | Beginner BJJ","Kids Martial Arts Haines Falls","haines falls","informational article","informational or supporting","REVIEW INTENT"
"/blog/kids-martial-arts-haines-falls-beginner-friendly-jiu-jitsu","200","yes","https://senseisandy.com/blog/kids-martial-arts-haines-falls-beginner-friendly-jiu-jitsu","Kids Martial Arts Near Haines Falls: Beginner-Friendly Jiu-Jitsu","Kids Martial Arts Near Haines Falls: Beginner-Friendly Jiu-Jitsu","haines falls","informational article","informational or supporting","REVIEW INTENT"
"/blog/martial-arts-windham-ny-why-families-pick-jiu-jitsu","200","yes","https://senseisandy.com/blog/martial-arts-windham-ny-why-families-pick-jiu-jitsu","Martial Arts in Windham, NY: Why Families Pick Jiu-Jitsu","Martial Arts in Windham, NY: Why Families Pick Jiu-Jitsu","windham","informational article","informational or supporting","REVIEW INTENT"
"/blog/no-gi-windham-ny","200","yes","https://senseisandy.com/blog/no-gi-windham-ny","No-Gi Jiu-Jitsu Near Windham, NY | Sensei Sandy","No-Gi Jiu-Jitsu Near Windham, NY: What to Expect","windham","informational article","informational or supporting","REVIEW INTENT"
"/blog/private-jiu-jitsu-lessons-windham-ny","200","yes","https://senseisandy.com/blog/private-jiu-jitsu-lessons-windham-ny","Private Jiu Jitsu Lessons Windham NY | 1-on-1 BJJ | Sensei Sandy","Private Jiu Jitsu Lessons in Windham NY: Is It Worth It?","windham","informational article","informational or supporting","REVIEW INTENT"
"/blog/tannersville-bjj-tuesday","200","yes","https://senseisandy.com/blog/tannersville-bjj-tuesday","Tuesday Brazilian Jiu-Jitsu in Tannersville, NY (All Ages)","Tuesday Brazilian Jiu-Jitsu in Tannersville, NY (Kids • Teens • Adults)","tannersville","informational article","informational or supporting","REVIEW INTENT"
"/blog/teen-jiu-jitsu-hunter-ny","200","yes","https://senseisandy.com/blog/teen-jiu-jitsu-hunter-ny","Teen Jiu Jitsu Hunter NY | Confidence &amp; BJJ | Sensei Sandy","Teen Jiu Jitsu in Hunter NY: A Clear Path to Confidence","hunter","informational article","informational or supporting","REVIEW INTENT"
"/blog/things-to-do-near-hunter-ny-private-bjj-coaching","200","yes","https://senseisandy.com/blog/things-to-do-near-hunter-ny-private-bjj-coaching","Things to Do Near Hunter, NY: Private BJJ Coaching","Things to Do Near Hunter, NY: Beginner-Friendly Private Brazilian Jiu-Jitsu Coaching","hunter","informational article","informational or supporting","REVIEW INTENT"
